 100  1010 2005    3 25 34 28   990 151M4-1 4   2MY 24.5140 34.2347 28.1051               6                        SPIRIT
 100  1010 2005    3 25 37 29   990 151M5-2 4   2MY 24.9152 37.3171 29.2965               6                        SPIRIT
 100  1010 2020    4 24 34 28  1032 151M4-1 4   2MY 24.1000 33.6000 27.6133               6                        CONCORD
 100  1010 2020    4 25 37 29   990 151M5-2 4   2MY 24.6826 36.8962 29.0029               6                        CONCORD
 100  1010 2025    7 24 34 28  1032 151M4-1 4   2MY 24.1000 33.6000 27.6133               6                        CONCORD WAGON
 100  1010 2025    7 25 37 29   990 151M5-2 4   2MY 24.5721 36.7262 28.8717               6                        CONCORD WAGON
 100  1015 2005    3 23 29 25  1077 151A3-1 4   2AY 22.6000 28.6000 24.9560               6                        SPIRIT                          (FFS)
 100  1015 2020    4 23 29 25  1077 151A3-1 4   2AY 22.6000 28.6000 24.9560               6                        CONCORD                         (FFS)
 100  1015 2025    7 23 29 25  1077 151A3-1 4   2AY 22.6000 28.6000 24.9560               6                        CONCORD WAGON                   (FFS)
 100  1017 2005    3 28 40 32   884 151M4-1 4   2MY 27.8000 39.6000 32.1050               6                        SPIRIT                          (FFS)
 100  1021 2005    3 21 29 24  1178 258A3-1 6   2LY 21.0000 28.9000 23.9456               6                        SPIRIT                          (FFS)
 100  1021 2005    3 21 30 25  1178 258M4-1 6   2MY 21.2000 30.4000 24.5423               6                        SPIRIT                          (FFS)
 100  1021 2020    4 20 28 23  1238 258A3-1 6   2LY 20.1000 28.4492 23.1584               6                        CONCORD                         (FFS)
 100  1021 2020    4 21 30 24  1178 258M4-1 6   2MY 20.6000 29.7000 23.8946               6                        CONCORD                         (FFS)
 100  1021 2025    7 20 28 23  1238 258A3-1 6   2LY 20.1000 28.4492 23.1584               6                        CONCORD WAGON                   (FFS)
 100  1021 2025    7 21 30 24  1178 258M4-1 6   2MY 20.6000 29.7000 23.8946               6                        CONCORD WAGON                   (FFS)
