column,full,abbr
1,Suppression Code,sc
2,Low Altitude Application,low.alt
3,Hight Altitude Application,high.alt
4,Low/High Altitude Application,both.alt
5,Basic Engine Index,b.eng.id
6,carline code,carline.code
7,filler 1,f1
8,Carline Class,class
9,Estimated City MPG,est.cty
10,Estmated Highway MPG,est.hwy
11,Combined MPG,est.cmb
12,Annual Fuel Cost,fcost
13,Engine Displacement,displ
14,Transmission Code 2 character,trans.code.2
15,filler 2,f2
16,Over Drive Code,od
17,number of cylinders,cyl
18,filer 3,f3
19,Fuel System,f.type
20,1 character transmission code,trans.code.1
21,Catalyst Application,catalyst
22,City mpg F,cty
23,Hiwqay MPG F,hwy
24,Combined MPG F,cmb
25,Optional Displacement,opt.disp
26,Sales for Model Level Fuel Economy ,sale.mtot
27,Fuel Type,fl
28,filler 4,f4
29,sales excluding 2/9 sc erased,sale.mtotc
30,filler 5,f5
31,carline.name,carline.name
32,filler6,f6
33,ENGINE.DESC.1,eng.dscr.1
34,ENGINE.DESC.2,eng.dscr.2
