V14,V1,mfg.name,mfg.code
1,78010003,ALFA ROMEO                           ,10
4,78020002,AMC                                  ,20
13,78040002,ASTON MARTIN                         ,40
15,78050002,AUDI                                 ,50
1070,81055002,AURORA CARS                          ,55
19,78065002,AVANTI                               ,65
1827,83066002,BERTONE                              ,66
1444,82068002,BITTER GMBH & CO. KG                 ,68
21,78070002,BMW                                  ,70
26,78075002,BRISTOL                              ,75
28,78080002,BUICK                                ,80
39,78100002,CADILLAC                             ,100
723,80105002,CAMELOT MOTORS                       ,105
44,78110002,CHECKER                              ,110
46,78120002,CHEVROLET                            ,120
58,78130002,CHRYSLER                             ,130
1878,83140002,CITROEN                              ,140
63,78150002,DATSUN                               ,150
404,79155002,DELOREAN                             ,155
73,78160002,DODGE                                ,160
86,78170002,FERRARI                              ,170
88,78180002,FIAT                                 ,180
97,78190002,FORD                                 ,190
111,78210002,HONDA                                ,210
1164,81212002,HYUNDAI MOTOR COMPANY                ,212
1165,81214002,IMPERIAL                             ,214
1167,81215002,ISUZU                                ,215
1543,82217002,EUROWEST GRAND PRIX INCORPORATED     ,217
116,78220002,JAGUAR                               ,220
1938,83230002,LAMBORGHINI                          ,230
1172,81235002,LANCIA                               ,235
1174,81237002,LEGEND                               ,237
119,78240002,LINCOLN-MERCURY                      ,240
1565,82247103,FUNERAL COACH                        ,247
1566,82248103,FUNERAL COACH                        ,248
133,78250002,LOTUS                                ,250
136,78251002,"STEELBRO MANUFACTURING, LTD.         ",251
138,78260002,MASERATI                             ,260
142,78270002,MAZDA                                ,270
149,78280002,MERCEDES-BENZ                        ,280
172,78285002,MG                                   ,285
1209,81287002,MITSUBISHI                           ,287
1215,81288103,MODEL A ROADSTER REPRODUCTIO,288
1216,81288203,SHAY REPRODUCTION/55 BIRD,289
176,78290002,OLDSMOBILE                           ,290
501,79305002,PANTHER                              ,305
186,78310002,PEUGEOT                              ,310
1996,83315002,PININFARINA                          ,315
190,78320002,PLYMOUTH                             ,320
200,78330002,PONTIAC                              ,330
212,78340002,PORSCHE                              ,340
219,78350002,RENAULT                              ,350
222,78360002,ROLLS-ROYCE/BENTLEY                  ,360
889,80365002,ROVER                                ,365
226,78370002,SAAB                                 ,370
228,78375002,SATRA                                ,375
230,78377002,EXCALIBUR AUTOS                      ,377
232,78378002,STUTZ                                ,378
234,78380002,SUBARU                               ,380
238,78390002,TOYOTA                               ,390
246,78400002,TRIUMPH                              ,400
251,78410002,TVR                                  ,410
571,79412002,VILLAGE IMPORTS INC                  ,412
1287,81415002,VEHICLE TECHNOLOGY                   ,415
253,78420002,VOLKSWAGEN                           ,420
259,78430002,VOLVO                                ,430
2090,83490002,ZIMMER MOTOR CARS CORPORATION        ,490
267,78510002,AM GENERAL                           ,510
934,80515002,AMC                                  ,515
269,78530002,CADILLAC                             ,530
271,78550002,CHEVROLET                            ,550
2122,83580002,COLT                                 ,580
283,78600002,DATSUN                               ,600
1705,82625053,FUNERAL COACH                     19 ,625
286,78650002,DODGE                                ,650
290,78700002,FORD                                 ,700
298,78800002,GMC                                  ,800
1371,81810002,HESS & EISENHARDT                    ,810
308,78820002,INTERNATIONAL HARVESTER              ,820
2183,83830002,GRUMMAN OLSON                        ,830
1380,81840002,ISUZU                                ,840
313,78850002,JEEP                                 ,850
1388,81870002,MITSUBISHI                           ,870
315,78880002,MAZDA                                ,880
1023,80888002,MODEL A AND MODEL T REPRODUCTION     ,888
1771,82900002,STEYR-PUCH                           ,900
318,78910002,PLYMOUTH                             ,910
1787,82911002,SATRA                                ,911
1039,80912002,SHETLEY                              ,912
2217,83913002,S & S COACH COMPANY EARNHART INC     ,913
1041,80915002,SUBARU                               ,915
1411,81917002,SUPERIOR COACH                       ,917
2223,83918002,SUPERIOR COACHES DIV. EARNHART       ,918
670,79920002,SUZUKI                               ,920
324,78940002,TOYOTA                               ,940
329,78970002,VOLKSWAGEN                           ,970
1807,82980002,ZIMMER HOMES CORPORATION             ,980
