Col,full,abbr
1,year,year
2,STATE.CODE,state.code
3,CLASS,class
4,CARLINE.MFR.CODE,carline.Manufacturer.code
5,CAR.LINE,model
6,DISPLACEMENT,displ
7,FUEL.SYSTEM,fl.system
8,MODEL.TRANSMISSION,trans
9,NUMB.CYL,cyl
10,DATE.TIME,date
11,RELEASE.DATE,r.date
12,VI.MFR.CODE,vi.Manufacturer.code
13,Filler 1,f1
14,BASIC.ENG.ID,b.eng.id
15,MFR,manufacturer
16,SUPRESSION.CODE,sc
17,Filler 2,f2
18,CITY.MPG..GUIDE.,cty
19,HWY.MPG..GUIDE.,hwy
20,COMB.MPG..GUIDE.,cmb
21,ANL.FL.CST,fcost
22,OPTIONAL DISPLACEMENT,opt.disp
23,ENGINE.DESC.1,eng.dscr.1
24,ENGINE.DESC.2,eng.dscr.2
25,Filler 3,f3
26,Body.Type.2D,bt.2
27,Body.Type.4D,bt.4
28,Body.Type.HBK,bt.hbk
29,PUERTO.RICO,pr
30,OVERDRIVE,od
