"year","class","model","displ","trans","cyl","manufacturer","cty","hwy","eng.dscr","T","G","S","twodoor.p","twodoor.l","fourdoor.p","fourdoor.l","hatch.p","hatch.l"
1984,1,"SPIDER VELOCE 2000",120,"manual(m5)",4,"ALFA ROMEO",23,35,"(FFS) ",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1984,1,"BERTONE X1/9",91,"manual(m5)",4,"BERTONE",25,36,"(FFS) ",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1984,1,"CORVETTE",350,"auto(4)",8,"CHEVROLET",16,28,"(FFS) ",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1984,1,"CORVETTE",350,"manual(m4)",8,"CHEVROLET",16,28,"(FFS) ",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1984,1,"300ZX",181,"auto(4)",6,"NISSAN MOTOR COMPANY, LTD.",19,28,"(FFS,TRBO) ",TRUE,FALSE,FALSE,NA,NA,NA,NA,50,22
1984,1,"300ZX",181,"auto(4)",6,"NISSAN MOTOR COMPANY, LTD.",20,28,"(FFS) ",FALSE,FALSE,FALSE,NA,NA,NA,NA,50,22
1984,1,"300ZX",181,"manual(m5)",6,"NISSAN MOTOR COMPANY, LTD.",20,30,"(FFS,TRBO) ",TRUE,FALSE,FALSE,NA,NA,NA,NA,50,22
1984,1,"300ZX",181,"manual(m5)",6,"NISSAN MOTOR COMPANY, LTD.",22,33,"(FFS) ",FALSE,FALSE,FALSE,NA,NA,NA,NA,50,22
1984,1,"EXP",98,"auto(3)",4,"FORD MOTOR COMPANY",27,37," ",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1984,1,"EXP",98,"manual(m5)",4,"FORD MOTOR COMPANY",27,41," ",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1984,1,"EXP",98,"manual(m5)",4,"FORD MOTOR COMPANY",26,42,"(FFS,TRBO) ",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1984,1,"CIVIC COUPE",82,"manual(m5)",4,"HONDA",51,67," ",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1984,1,"CIVIC COUPE",91,"auto(3)",4,"HONDA",32,42,"(FFS) ",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1984,1,"CIVIC COUPE",91,"manual(m5)",4,"HONDA",36,49,"(FFS) ",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
