1986F 1 10SPIDER                       120FIM5     486030702583685 6 1 90 1010 9086ALFA ROMEO                        21   28   24   24   35   28  $  782( 2.0L) (FFS)                                                         OD RWD R
1986F 1 57A.C.MKIV                     302FIM5     8870710040726870710101 570110186AUTOKRAFT LIMITED                 17   23   19   19   29   22  $  986( 5.0L) (GUZZLER) (FFS)                                                  RWD R
1986F 1 66BERTONE X1/9                  91FIM5     4860307025837850901127 660512715BERTONE                           23   28   25   25   36   29  $  750( 1.5L) (FFS)     (MPFI)                                              OD RWD R
1986F 1120CORVETTE                     350FIL4     8860307025822850820 4012055 4196CHEVROLET                         17   24   20   19   31   23  $  938( 5.7L) (FFS)                                                         OD RWD R
1986F 1120CORVETTE                     350FIM4     8860307025822851111 4012055 4197CHEVROLET                         17   24   19   19   31   23  $  986( 5.7L) (FFS)                                                        AEODRWD RSIL
1986F 1120CORVETTE CONVERTIBLE         350FIL4     8860307025822850820 4012015 4196CHEVROLET                         17   24   20   19   31   23  $  938( 5.7L) (FFS)                                                         OD RWD R
1986F 1120CORVETTE CONVERTIBLE         350FIM4     8860307025822851111 4012015 4197CHEVROLET                         17   24   19   19   31   23  $  986( 5.7L) (FFS)                                                        AEODRWD RSIL
1986F 1150300ZX                        181FIL4     68603070258438508293801504038043NISSAN MOTOR CO., LTD.            18   25   20   20   32   24  $  938( 3.0L) (FFS)                                             HBK- 49/23 EOD RWD RVLKUP
1986F 1150300ZX                        181FIL4     68603070258438508293801504038042NISSAN MOTOR CO., LTD.            17   25   20   19   32   24  $  938( 3.0L) (FFS)                                             HBK- 49/23 EOD RWD RVLKUP
1986F 1150300ZX                        181FIM5     68603070258438508293801504038043NISSAN MOTOR CO., LTD.            18   25   20   20   32   24  $  938( 3.0L) (FFS)                                             HBK- 49/23  OD RWD R
1986F 1150300ZX                        181FIM5     68603070258438508293801504038042NISSAN MOTOR CO., LTD.            18   26   21   20   33   24  $  892( 3.0L) (FFS)                                             HBK- 49/23  OD RWD R
1986F 1170TESTAROSSA                   302FIM5    128603070258388508292201701522010FERRARI                           10   15   11   11   19   13  $ 1704( 4.9L) (GUZZLER) (GUZZLER) (FFS)                                     OD RWD R
1986F 1170328 GTS/GTB                  194FIM5     88603070258388511302201700522015FERRARI                           13   18   15   14   24   17  $ 1251( 3.2L) (GUZZLER) (GUZZLER) (FFS)                                     OD RWD R
1986F 1190EXP                          113 2A3     4860307025805860223 3019032 3104FORD                              24   29   26   27   37   31  $  722( 1.9L)                                                                  FWD R
1986F 1190EXP                          113 2M5     4860307025806860227 3019032 3105FORD                              26   34   29   29   44   34  $  647( 1.9L)                                                               OD FWD RSIL
1986F 1190EXP                          113FIA3     4860307025806860227 3019032 3133FORD                              22   28   24   25   35   29  $  782( 1.9L) (FFS)                                                            FWD R
1986F 1190EXP                          113FIM5     4860307025806860223 3019032 3132FORD                              25   33   28   28   42   33  $  669( 1.9L) (FFS)                                                         OD FWD RSIL
1986F 1210CIVIC COUPE                   91 3L4     48603070258388602112602100426021HONDA                             29   35   32   33   44   37  $  585( 1.5L) (FFS)                                                         OD FWD R
1986F 1210CIVIC COUPE                   91 3M5     48603070258388602112602100426021HONDA                             31   37   33   34   47   39  $  568( 1.5L) (FFS)                                                         OD FWD R
1986F 1210CIVIC COUPE                   91FIM5     48603070258398508292602100426022HONDA                             30   33   31   33   43   37  $  606( 1.5L) (FFS)                                                         OD FWD R
1986F 1210CIVIC COUPE HF                91 3M5     48603070258388602112602100326021HONDA                             52   57   54   58   74   64  $  347( 1.5L) (FFS)                                                         OD FWD RSIL
1986F 1210CIVIC COUPE HF                91 3M5     48603070258388508292602100326020HONDA                             45   50   47   50   65   56  $  399( 1.5L)                                                               OD FWD RSIL
1986F 1231COUNTACH                     315FIM5    128609090545158609076912311569101LAMBORGHINI EAST                   6   10    8    7   13    9  $ 2531( 5.2L) (GUZZLER) (FFS)     (MPFI)    2DR- 45/ 8                      OD RWD P
1986F 1260BITURBO SPYDER               152 2A3     68603070258428512023602602436001MASERATI                          13   15   14   15   20   17  $ 1339( 2.5L) (GUZZLER)                                                        RWD R
1986F 1280560SL                        338FIA4     88603070258388509012002804520062MERCEDES-BENZ                     14   17   15   15   21   18  $ 1351( 5.6L) (GUZZLER) (FFS)     (MPFI)                                       RWD P
1986F 1306KALLISTA                     140 1A3     48603070258458511164063060540602PANTHER CAR COMPANY LIMITED       22   24   23   24   31   27  $  816( 2.3L) (FFS)                                                            RWD R
1986F 1306KALLISTA                     140 1M4     48603070258458511114063060540601PANTHER CAR COMPANY LIMITED       22   26   23   24   33   27  $  816( 2.3L) (FFS)                                                            RWD R
1986F 1330FIERO                        151FIL3     4860307025823850820 4033075 4221PONTIAC                           25   32   27   27   40   32  $  694( 2.5L) (FFS)                                                            RWD R
1986F 1330FIERO                        151FIM5     4860307025823850820 4033075 4220PONTIAC                           24   35   28   27   46   33  $  669( 2.5L) (FFS)                                                         OD RWD RSIL
1986F 1330FIERO                        173FIL3     6860307025820850820 4033075 4150PONTIAC                           18   25   21   20   32   24  $  892( 2.8L) (FFS)                                                            RWD R
1986F 1330FIERO                        173FIM4     6860307025820850820 4033075 4152PONTIAC                           19   27   22   21   34   25  $  853( 2.8L) (FFS)                                                         OD RWD RSIL
1986F 1330FIERO                        173FIM5     6860605051608860604 4033075 4153PONTIAC                           18   27   21   20   35   25  $  892( 2.8L) (FFS)                                                         OD RWD R
1986F 1380SUBARU XT-DL                 109FIM5     48603070258598509016603803566023SUBARU                            25   32   28   28   41   33  $  669( 1.8L) (FFS)     (MPFI)                                              OD FWD R
1986F 1387TEXAS COACH 500 SL           303FIA4     88606240437178606235453872454520TEXAS COACH COMPANY               12   15   13   14   19   16  $ 1442( 5.0L) (GUZZLER) (FFS)                                                  RWD R
1986F 1390MR2                           97FIL4     486030702585385 8295703900257025TOYOTA                            25   31   27   28   40   32  $  694( 1.6L) (16-VALVE)(FFS)                                              AEODRWD R2MODE 2LKUP
1986F 1390MR2                           97FIM5     486030702585385 8295703900257025TOYOTA                            26   31   28   29   39   33  $  669( 1.6L) (16-VALVE)(FFS)                                               OD RWD R
1986F 1410TVR 280I/350I CONVERTIBLE    170FIS4     68603070258578512086204101562001TVR ENGINEERING LTD               17   23   20   19   30   23  $ 1012( 2.8L) (FFS)                                                            RWD P
1986F 1410TVR 280I/350I COUPE          170FIS4     68603070258578512086204101062001TVR ENGINEERING LTD               17   23   20   19   30   23  $ 1012( 2.8L) (FFS)                                                            RWD P
1986F 2 10GTV                          152FIM5     686030702583585 814 90 1007 9068ALFA ROMEO                        19   26   22   21   34   26  $  853( 2.5L) (FFS)                                             HBK-074/07  OD RWD R
1986F 2120SPRINT                        61 2A3     38603070258508508265401207554011CHEVROLET                         40   42   41   45   54   49  $  458( 1.0L) (FFS)                                             HBK- 74/ 8     FWD R
1986F 2120SPRINT                        61 2M5     38603070258508508265401207554011CHEVROLET                         44   50   47   49   64   55  $  399( 1.0L) (FFS)                                             HBK- 74/ 8  OD FWD R
1986F 2120SPRINT ER                     61 2M5     386030702585185 8295401207854014CHEVROLET                         55   60   57   62   76   67  $  328( 1.0L) (FFS)                                             HBK- 74/ 8  OD FWD RSIL
1986F 21703.2 MONDIAL/CABRIOLET        194FIM5     88603070258388511302201701022015FERRARI                           13   18   15   14   24   17  $ 1251( 3.2L) (GUZZLER) (GUZZLER) (FFS)     2DR- 76/ 3                      OD RWD R
1986F 2260BITURBO                      152 2A3     68603070258428512023602602536001MASERATI                          13   15   14   15   20   17  $ 1339( 2.5L) (GUZZLER)                     2DR- 70/ 7                         RWD R
1986F 2270RX-7                          80FIL4     28603070258518602265602704056010MAZDA MOTOR CORP                  17   24   20   19   30   23  $  938( 1.3L) (FFS)                         2DR- 69/10                      OD RWD R
1986F 2330FIREFLY FE                    61 2A3     38603070258508508265403301554012PONTIAC                           40   42   41   45   54   49  $  458( 1.0L) (FFS)                                             HBK- 74/ 8*    FWD R
1986F 2330FIREFLY FE                    61 2M5     38603070258508508265403301554012PONTIAC                           44   50   47   49   64   55  $  399( 1.0L) (FFS)                                             HBK- 74/ 8* OD FWD R
1986F 2340911                          193FIM5     68603070258468508294203401042020PORSCHE                           17   25   20   19   32   24  $  938( 3.2L) (FFS)                         2DR- 56/ 4                      OD RWD RSIL
1986F 2340911                          201FIM4     68603070258468508294203401042025PORSCHE                           16   22   18   18   29   21  $ 1126( 3.3L) (GUZZLER) (FFS,TRBO)          2DR- 56/ 4                      OD RWD P
1986F 2340928S                         302FIA4     88603070258468508294203403042030PORSCHE                           17   23   19   19   29   23  $ 1065( 5.0L) (FFS)                                             HBK- 74/ 8     RWD P
1986F 2340928S                         302FIM5     88603070258468508294203403042030PORSCHE                           16   24   19   18   32   23  $ 1065( 5.0L) (FFS)                                             HBK- 74/ 8     RWD PSIL
1986F 2340944                          151FIA3     48603070258468508294203402542010PORSCHE                           19   24   21   22   31   25  $  892( 2.5L) (FFS)                                             HBK- 62/12     RWD R
1986F 2340944                          151FIM5     48603070258468508294203402542010PORSCHE                           20   27   23   22   35   27  $  816( 2.5L) (FFS)                                             HBK- 62/12  OD RWD RSIL
1986F 2340944                          151FIM5     48603070258468508294203402542015PORSCHE                           19   27   22   21   34   25  $  921( 2.5L) (FFS,TRBO)                                        HBK- 62/12  OD RWD P
1986F 2420CABRIOLET                    109FIA3     48603070258568508295904201559014VOLKSWAGEN                        23   25   24   25   32   28  $  782( 1.8L) (FFS)                         2DR- 76/ 6                         FWD R
1986F 2420CABRIOLET                    109FIM5     48603070258568508295904201559014VOLKSWAGEN                        24   29   26   27   37   31  $  722( 1.8L) (FFS)                         2DR- 76/ 6                      OD FWD RSIL
1986F 2460YUGO GY/YUGO GVX              67 2M4     48603070258578508296144600561401YUGO AMERICA, INC.                25   31   27   28   40   32  $  694( 1.1L)                                                   HBK- 80/ 6     FWD R
1986F 3 50COUPE GT                     136FIA3     5860307025858850901640 504064003AUDI                              18   23   20   20   29   23  $  938( 2.2L) (FFS)                         2DR- 83/11                         FWD R
1986F 3 50COUPE GT                     136FIM5     5860307025858850901640 504064003AUDI                              19   25   21   21   32   25  $  892( 2.2L) (FFS)                         2DR- 83/11                      OD FWD RSIL
1986F 3 504000CS QUATTRO               136FIM5     5860307025858850829640 503064005AUDI                              18   22   19   20   28   23  $  986( 2.2L) (FFS)                                   4DR- 85/10            OD 4WD RSIL
1986F 3 504000S                        109FIA3     4860307025858850901640 501164004AUDI                              23   27   25   26   34   29  $  750( 1.8L) (FFS)                                   4DR- 86/13               FWD R
1986F 3 504000S                        109FIM5     4860307025858850901640 501164004AUDI                              25   30   27   27   39   32  $  694( 1.8L) (FFS)                                   4DR- 86/13            OD FWD RSIL
1986F 3 703-SERIES                     164FIL4     6860307025836851201120 700512040BMW                               20   27   23   22   35   26  $  816( 2.7L) (FFS)     (MPFI)              2DR- 81/134DR- 81/13            OD RWD R
1986F 3 703-SERIES                     164FIM5     6860307025836851201120 700512040BMW                               21   28   24   24   36   28  $  782( 2.7L) (FFS)     (MPFI)              2DR- 81/134DR- 81/13            OD RWD R
1986F 3 706-SERIES                     209FIL4     6860307025836851201120 701512030BMW                               16   21   18   18   27   21  $ 1042( 3.4L) (GUZZLER) (FFS)     (MPFI)    2DR- 84/12                      OD RWD R2MODE
1986F 3 706-SERIES                     209FIM5     6860307025836851201120 701512030BMW                               16   22   18   17   28   21  $ 1042( 3.4L) (GUZZLER) (FFS)     (MPFI)    2DR- 84/12                      OD RWD R
1986F 3120CAMARO                       151FIM5     4860307025823850820 4012025 4220CHEVROLET                         23   32   27   26   42   31  $  694( 2.5L) (FFS)                                             HBK- 85/12  OD RWD RSIL
