FULL,ABBR,Col
year,year,V1
STATE.CODE,state.code,V2
CLASS,class,V3
CARLINE.MFR.CODE,carline.Manufacturer.code,V4
CAR.LINE,carline.name,V5
DISPLACEMENT,displ,V6
FUEL.SYSTEM,fl.system,V7
MODEL.TRANSMISSION,m.trans,V8
NUMB.CYL,cyl,V9
DATE.TIME,date,V10
RELEASE.DATE,r.date,V11
VI.MFR.CODE,vi.Manufacturer.code,V12
CARLINE.CODE,c,V13
BASIC.ENG.ID,b.eng.id,V14
MFR,manufacturer,V15
SUPRESSION.CODE,sc,V16
CITY.MPG..GUIDE.,cty,V17
HWY.MPG..GUIDE.,hwy,V18
COMB.MPG..GUIDE.,cmb,V19
UNRND.CITY..EPA.,ucty,V20
UNRND.HWY..EPA.,uhwy,V21
UNRND.COMP..EPA.,ucmb,V22
ANL.FL.CST,fcost,V23
OPTIONAL DISPLACEMENT,opt.disp,V24
ENGINE.DESC.1,eng.dscr.1,V25
ENGINE.DESC.2,eng.dscr.2,V26
ENGINE.DESC.3,eng.dscr.3,V27
Body.Type.2D,bt.2,V28
Body.Type.4D,bt.4,V29
Body.Type.HBK,bt.hbk,V30
PUERTO.RICO,pr,V31
OVERDRIVE,od,V32
DRIVE.SYS,drv,V33
FUEL.TYPE,fl,V34
TRANS.DESC.TXT,trans.dscr,V35
