Class,Manufacturer,carline name,displ,cyl,trans,drv,cty,hwy,cmb,ucty,uhwy,ucmb,fl,G,T,S,2pv,2lv,4pv,4lv,hpv,hlv,fcost,eng dscr,trans dscr
TWO SEATERS,ACURA,NSX,3.0,6,Auto(L4),R,18,24,20,19.7874,30.3,23.4483,P,,,,,,,,,,975,DOHC-VTEC,2MODE CLKUP
TWO SEATERS,ACURA,NSX,3.2,6,Manual(M6),R,17,24,20,19.4,30.1291,23.102,P,,,,,,,,,,975,DOHC-VTEC,
TWO SEATERS,BMW,M COUPE,3.2,6,Manual(M5),R,19,26,22,21.3353,33.7663,25.5717,R,,,,,,,,,,785,,
TWO SEATERS,BMW,M ROADSTER,3.2,6,Manual(M5),R,19,26,22,21.3353,33.7663,25.5717,R,,,,,,,,,,785,,
TWO SEATERS,BMW,Z3 COUPE,2.8,6,Auto(L4),R,19,26,22,20.9,33.6,25.1834,R,,,,,,,,,,785,,
TWO SEATERS,BMW,Z3 COUPE,2.8,6,Manual(M5),R,19,26,21,21.0458,32.9812,25.1398,R,,,,,,,,,,821,,
TWO SEATERS,BMW,Z3 ROADSTER,2.5,6,Auto(L4),R,19,26,21,20.9,33.2,25.0815,R,,,,,,,,,,821,,
TWO SEATERS,BMW,Z3 ROADSTER,2.5,6,Manual(M5),R,20,27,22,21.9,34.4,26.1811,R,,,,,,,,,,785,,
TWO SEATERS,BMW,Z3 ROADSTER,2.8,6,Auto(L4),R,19,26,21,21,33,25.1087,R,,,,,,,,,,821,,
TWO SEATERS,BMW,Z3 ROADSTER,2.8,6,Manual(M5),R,19,26,21,21.0458,32.9812,25.1398,R,,,,,,,,,,821,,
TWO SEATERS,CHEVROLET,CORVETTE,5.7,8,Auto(L4),R,17,25,19,18.5,31.5,22.7193,P,,,,,,,,,,1026,,CLKUP
TWO SEATERS,CHEVROLET,CORVETTE,5.7,8,Manual(M6),R,18,28,22,20.5112,36.0095,25.438,P,,,,,,,,,,887,,
TWO SEATERS,FERRARI,FERRARI 550 MARANELLO,5.5,12,Manual(M6),R,9,14,11,10,18,12.5,P,G,,,,,,,,,1773,,
TWO SEATERS,FERRARI,FERRARI F355/355 F1,3.5,8,Auto(A6),R,10,14,11,10.9991,17.9728,13.3259,P,G,,,,,,,,,1773,,3MODE
TWO SEATERS,FERRARI,FERRARI F355/355 F1,3.5,8,Manual(M6),R,10,15,12,11.1,19.6,13.7914,P,G,,,,,,,,,1624,,
