Class,Manufacturer,carline name,displ,cyl,trans,drv,bidx,cty,hwy,cmb,ucty,uhwy,ucmb,fl,G,T,S,2pv,2lv,4pv,4lv,hpv,hlv,fcost,eng dscr,trans dscr,vpc,cls
TWO SEATERS,ACURA,NSX,3,6,Auto(S4),R,60,17,24,20,19.1342,30.2,22.9121,P,,,,,,,,,,1238,DOHC-VTEC,2MODE,4,1
TWO SEATERS,ACURA,NSX,3.2,6,Manual(M6),R,65,17,24,19,18.7,30.4,22.6171,P,,,,,,,,,,1302,DOHC-VTEC,,4,1
TWO SEATERS,ASTON MARTIN,ASTON MARTIN VANQUISH,5.9,12,Auto(S6),R,1,12,19,14,13.55,24.7,17.015,P,G,,,,,,,,,1651,GUZZLER,CLKUP,4,1
TWO SEATERS,AUDI,TT ROADSTER,1.8,4,Manual(M5),F,18,22,31,26,24.8,39.8,29.8651,P,,T,,,,,,,,953,,,5,1
TWO SEATERS,AUDI,TT ROADSTER QUATTRO,1.8,4,Manual(M6),4,18,20,28,23,22.382,35.9827,26.9692,P,,T,,,,,,,,1077,,,5,1
TWO SEATERS,BMW,M COUPE,3.2,6,Manual(M5),R,32,17,25,20,19.2,31.5,23.2929,P,,,,,,,,,,1238,MOTORSPORT,,4,1
TWO SEATERS,BMW,M ROADSTER,3.2,6,Manual(M5),R,32,17,25,20,19.2,31.5,23.2929,P,,,,,,,,,,1238,MOTORSPORT,,4,1
TWO SEATERS,BMW,Z3 COUPE,3,6,Auto(L5),R,30,19,27,22,21.3435,34.7183,25.8195,P,,,,,,,,,,1126,,3MODE,4,1
TWO SEATERS,BMW,Z3 COUPE,3,6,Manual(M5),R,30,21,29,24,23.3,36.6925,27.879,P,,,,,,,,,,1032,,,4,1
TWO SEATERS,BMW,Z3 ROADSTER,2.5,6,Manual(M5),R,25,20,27,23,22.1,34.9,26.4684,P,,,,,,,,,,1077,,,4,1
TWO SEATERS,BMW,Z3 ROADSTER,2.5,6,Auto(S5),R,25,19,26,22,21.3701,33.544,25.5414,P,,,,,,,,,,1126,,3MODE,4,1
TWO SEATERS,BMW,Z3 ROADSTER,3,6,Auto(L5),R,30,19,25,21,20.7065,32.537,24.7573,P,,,,,,,,,,1178,,3MODE,4,1
TWO SEATERS,BMW,Z3 ROADSTER,3,6,Manual(M5),R,30,21,29,24,23.3,36.6925,27.879,P,,,,,,,,,,1032,,,4,1
TWO SEATERS,BMW,Z8,4.9,8,Manual(M6),R,49,13,21,16,14.9485,26.5,18.5963,P,G,,,,,,,,,1547,GUZZLER,,4,1
