"Class","Manufacturer","carline name","displ","cyl","trans","drv","bidx","cty","hwy","cmb","ucty","uhwy","ucmb","fl","G","T","S","2pv","2lv","4pv","4lv","hpv","hlv","fcost","eng dscr","trans dscr","vpc","cls"
"TWO SEATERS","ACURA","NSX"," 3.0",6,"Auto(S4)","R",62,17,24,20,19.4,31,23.3282,"P","","","","","","","","","",1462,"DOHC","2MODE CLKUP ",4,"01"
"TWO SEATERS","ACURA","NSX"," 3.2",6,"Manual(M6)","R",71,17,24,20,19.3,31.1,23.2737,"P","","","","","","","","","",1462,"DOHC","",4,"01"
"TWO SEATERS","AUDI","TT ROADSTER"," 1.8",4,"Auto(S6)","F",13,20,28,23,22,36.2,26.7159,"P","","T","","","","","","","",1272," ","3MODE CLKUP ",5,"01"
"TWO SEATERS","AUDI","TT ROADSTER QUATTRO"," 1.8",4,"Manual(M6)","4",13,20,29,23,22.1726,36.5686,26.9462,"P","","T","","","","","","","",1272," ","",5,"01"
"TWO SEATERS","AUDI","TT ROADSTER QUATTRO"," 3.2",6,"Auto(S6)","4",15,22,27,24,23.9,34.2,27.6469,"P","","","","","","","","","",1220," ","3MODE ",5,"01"
"TWO SEATERS","BMW","Z4 ROADSTER"," 2.5",6,"Manual(M5)","R",25,20,28,23,22.4,35.7,26.9117,"P","","","","","","","","","",1272," ","",4,"01"
"TWO SEATERS","BMW","Z4 ROADSTER"," 2.5",6,"Auto(S5)","R",25,21,28,23,22.9,35.9,27.3581,"P","","","","","","","","","",1272," ","3MODE CLKUP ",4,"01"
"TWO SEATERS","BMW","Z4 ROADSTER"," 3.0",6,"Manual(M6)","R",30,21,29,24,22.9,37.5,27.7643,"P","","","","","","","","","",1220," ","",4,"01"
"TWO SEATERS","BMW","Z4 ROADSTER"," 3.0",6,"Auto(S5)","R",30,19,27,22,21.2536,34.5372,25.702,"P","","","","","","","","","",1331," ","3MODE CLKUP ",4,"01"
"TWO SEATERS","BMW","Z4 ROADSTER"," 3.0",6,"Auto(S6)","R",30,20,29,23,22.3982,37.6275,27.3861,"P","","","","","","","","","",1272," ","4MODE ",4,"01"
