CLASS,MFR,CAR LINE,DISPLACEMENT,NUMB CYL,TRANS,DRIVE SYS,INDEX NUMB,CITY MPG (GUIDE),HWY MPG (GUIDE),COMB MPG (GUIDE),UNRND CITY (EPA),UNRND HWY (EPA),UNRND COMP (EPA),FUEL TYPE,GUZLR,TURBO,SPCHGR,AVG 2D PASS VOL,AVG 2D LUGG VOL,AVG 4D PAS VOL,AVG 4D LUGG VOL,AVG HB PAS VOL,AVG HB LUGG VOL,ANL FL CST,ENG BLK TXT,TRANS DESC TXT,VLVS PER CYL,CLS,5C CODE
TWO SEATERS,ASTON MARTIN,V8 VANTAGE,4.3,8,Manual(M6),R,11,12,19,15,15.2,25.7,18.6241,P,G,,,,,,,,,3002, ,,4,1,DERIVED
TWO SEATERS,ASTON MARTIN,V8 VANTAGE,4.3,8,Auto(S6),R,12,13,20,15,16.1945,27.4018,19.8474,P,G,,,,,,,,,3002, ,4MODE ,4,1,DERIVED
TWO SEATERS,AUDI,R8,4.2,8,Manual(M6),4,19,13,20,15,15.4417,27.1538,19.1607,P,G,,,,,,,,,3002, ,,4,1,DERIVED
TWO SEATERS,AUDI,R8,4.2,8,Auto(S6),4,19,13,19,15,16.1944,26.2,19.555,P,G,,,,,,,,,3002, ,3MODE CLKUP ,4,1,DERIVED
TWO SEATERS,AUDI,TT ROADSTER,2,4,Auto(S6),F,5,22,29,25,28.1096,40.4093,32.5709,P,,T,,,,,,,,1800, ,3MODE ,4,1,DERIVED
TWO SEATERS,AUDI,TT ROADSTER QUATTRO,3.2,6,Manual(M6),4,8,17,24,19,20.7455,34.0127,25.1622,P,,,,,,,,,,2367, ,,4,1,DERIVED
TWO SEATERS,AUDI,TT ROADSTER QUATTRO,3.2,6,Auto(S6),4,8,18,24,20,22.3615,33.4428,26.2801,P,,,,,,,,,,2250, ,3MODE ,4,1,DERIVED
TWO SEATERS,BMW,Z4 3.0I,3,6,Manual(M6),R,30,18,28,21,22.4921,38.9302,27.7684,P,,,,,,,,,,2142, ,,4,1,DERIVED
TWO SEATERS,BMW,Z4 3.0I,3,6,Auto(S6),R,30,19,28,22,23.2871,39.6624,28.6008,P,,,,,,,,,,2048, ,3MODE CLKUP ,4,1,DERIVED
TWO SEATERS,BMW,Z4 3.0SI,3,6,Manual(M6),R,30,18,28,21,22.4921,38.9302,27.7684,P,,,,,,,,,,2142, ,,4,1,DERIVED
