V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
Class,Class,Class,Class,Class,Class,Class,Class,CLASS,CLASS,CLASS
Manufacturer,Manufacturer,Manufacturer,Manufacturer,Manufacturer,Manufacturer,Manufacturer,Manufacturer,MFR,MFR,MFR
carline.name,carline.name,carline.name,carline.name,carline.name,carline.name,carline.name,carline.name,CAR.LINE,CAR.LINE,CAR.LINE
displ,displ,displ,displ,displ,displ,displ,displ,DISPLACEMENT,DISPLACEMENT,DISPLACEMENT
cyl,cyl,cyl,cyl,cyl,cyl,cyl,cyl,NUMB.CYL,NUMB.CYL,NUMB.CYL
trans,trans,trans,trans,trans,trans,trans,trans,TRANS,TRANS,TRANS
drv,drv,drv,drv,drv,drv,drv,drv,DRIVE.SYS,DRIVE.SYS,DRIVE.SYS
cty,cty,cty,cty,bidx,bidx,bidx,bidx,CITY.MPG..GUIDE.,INDEX.NUMB,INDEX.NUMB
hwy,hwy,hwy,hwy,cty,cty,cty,cty,HWY.MPG..GUIDE.,CITY.MPG..GUIDE.,CITY.MPG..GUIDE.
cmb,cmb,cmb,cmb,hwy,hwy,hwy,hwy,COMB.MPG..GUIDE.,HWY.MPG..GUIDE.,HWY.MPG..GUIDE.
ucty,ucty,ucty,ucty,cmb,cmb,cmb,cmb,UNRND.CITY..EPA.,COMB.MPG..GUIDE.,COMB.MPG..GUIDE.
uhwy,uhwy,uhwy,uhwy,ucty,ucty,ucty,ucty,UNRND.HWY..EPA.,UNRND.CITY..EPA.,UNRND.CITY..EPA.
ucmb,ucmb,ucmb,ucmb,uhwy,uhwy,uhwy,uhwy,UNRND.COMP..EPA.,UNRND.HWY..EPA.,UNRND.HWY..EPA.
fl,fl,fl,fl,ucmb,ucmb,ucmb,ucmb,FUEL.TYPE,UNRND.COMP..EPA.,UNRND.COMP..EPA.
G,G,G,G,fl,fl,fl,fl,GUZLR,FUEL.TYPE,FUEL.TYPE
T,T,T,T,G,G,G,G,TURBO,GUZLR,GUZLR
S,S,S,S,T,T,T,T,SPCHGR,TURBO,TURBO
X2pv,X2pv,X2pv,X2pv,S,S,S,S,AVG.2D.PASS.VOL,SPCHGR,SPCHGR
X2lv,X2lv,X2lv,X2lv,X2pv,X2pv,X2pv,X2pv,AVG.2D.LUGG.VOL,AVG.2D.PASS.VOL,AVG.2D.PASS.VOL
X4pv,X4pv,X4pv,X4pv,X2lv,X2lv,X2lv,X2lv,AVG.4D.PAS.VOL,AVG.2D.LUGG.VOL,AVG.2D.LUGG.VOL
X4lv,X4lv,X4lv,X4lv,X4pv,X4pv,X4pv,X4pv,AVG.4D.LUGG.VOL,AVG.4D.PAS.VOL,AVG.4D.PAS.VOL
hpv,hpv,hpv,hpv,X4lv,X4lv,X4lv,X4lv,AVG.HB.PAS.VOL,AVG.4D.LUGG.VOL,AVG.4D.LUGG.VOL
hlv,hlv,hlv,hlv,hpv,hpv,hpv,hpv,AVG.HB.LUGG.VOL,AVG.HB.PAS.VOL,AVG.HB.PAS.VOL
fcost,fcost,fcost,fcost,hlv,hlv,hlv,hlv,ANL.FL.CST,AVG.HB.LUGG.VOL,AVG.HB.LUGG.VOL
eng.dscr,eng.dscr,eng.dscr,eng.dscr,fcost,fcost,fcost,fcost,ENG.BLK.TXT,ANL.FL.CST,ANL.FL.CST
trans.dscr,trans.dscr,trans.dscr,trans.dscr,eng.dscr,eng.dscr,eng.dscr,eng.dscr,TRANS.DESC.TXT,ENG.BLK.TXT,ENG.BLK.TXT
year,year,vpc,vpc,trans.dscr,trans.dscr,trans.dscr,trans.dscr,VLVS.PER.CYL,TRANS.DESC.TXT,TRANS.DESC.TXT
NA,NA,cls,cls,vpc,vpc,vpc,vpc,CLS,VLVS.PER.CYL,VLVS.PER.CYL
NA,NA,year,year,cls,cls,cls,cls,year,CLS,CLS
NA,NA,NA,NA,year,year,year,year,NA,X5C.CODE,X5C.CODE
