"class","manufacturer","model","displ","cyl","trans","drv","cty","hwy","fl","G","T","S","twodoor.p","twodoor.l","fourdoor.p","fourdoor.l","hatch.p","hatch.l","eng.dscr","trans.dscr","year","vpc","bidx","x5c","eng.dscr.1","eng.dscr.2"
"two seaters","acura","nsx",3,6,"auto(l4)","r",16,22,"p",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"dohc vtec","2mode clkup",1998,NA,NA,NA,NA,NA
"two seaters","acura","nsx",3.2,6,"manual(m6)","r",15,22,"p",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"dohc vtec","",1998,NA,NA,NA,NA,NA
"two seaters","aston martin","db7 coupe",3.2,6,"auto(l4)","r",13,19,"p",TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,"aston-db7","clkup",1998,NA,NA,NA,NA,NA
"two seaters","aston martin","db7 coupe",3.2,6,"manual(m5)","r",13,20,"p",TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,"aston-db7","",1998,NA,NA,NA,NA,NA
"two seaters","aston martin","db7 volante",3.2,6,"auto(l4)","r",13,19,"p",TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,"aston-db7","clkup",1998,NA,NA,NA,NA,NA
"two seaters","aston martin","db7 volante",3.2,6,"manual(m5)","r",13,20,"p",TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,"aston-db7","",1998,NA,NA,NA,NA,NA
"two seaters","bmw","m roadster",3.2,6,"manual(m5)","r",18,26,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"two seaters","bmw","z3 roadster",1.9,4,"auto(l4)","r",19,29,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"two seaters","bmw","z3 roadster",1.9,4,"manual(m5)","r",21,29,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"two seaters","bmw","z3 roadster",2.8,6,"auto(l4)","r",16,22,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"two seaters","bmw","z3 roadster",2.8,6,"manual(m5)","r",17,24,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"two seaters","chevrolet","corvette",5.7,8,"auto(l4)","r",15,23,"p",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","clkup",1998,NA,NA,NA,NA,NA
"two seaters","chevrolet","corvette",5.7,8,"manual(m6)","r",16,25,"p",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"two seaters","dodge","viper convertible",8,10,"manual(m6)","r",11,20,"p",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"two seaters","dodge","viper coupe",8,10,"manual(m6)","r",11,20,"p",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"two seaters","ferrari","ferrari 550 maranello",5.5,12,"manual(m6)","r",8,14,"p",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"two seaters","ferrari","ferrari f355/355 f1",3.5,8,"auto(a6)","r",9,13,"p",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","3mode",1998,NA,NA,NA,NA,NA
"two seaters","ferrari","ferrari f355/355 f1",3.5,8,"manual(m6)","r",9,14,"p",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"two seaters","lamborghini","db132/144 diablo",5.7,12,"manual(m5)","4",9,12,"p",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"two seaters","lotus","98 esrit v8",3.5,8,"manual(m5)","r",14,21,"p",TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"v8","",1998,NA,NA,NA,NA,NA
"two seaters","mercedes-benz","sl500",5,8,"auto(l5)","r",15,21,"p",TRUE,FALSE,FALSE,50,8,NA,NA,NA,NA,"","ems 2mode clkup",1998,NA,NA,NA,NA,NA
"two seaters","mercedes-benz","sl600",6,12,"auto(l5)","r",13,19,"p",TRUE,FALSE,FALSE,50,8,NA,NA,NA,NA,"","ems 2mode clkup",1998,NA,NA,NA,NA,NA
"two seaters","porsche","boxster",2.5,6,"auto(a5)","r",15,22,"p",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","2mode",1998,NA,NA,NA,NA,NA
"two seaters","porsche","boxster",2.5,6,"manual(m5)","r",17,24,"p",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"two seaters","suzuki","x-90 4wd",1.6,4,"auto(l4)","4",21,25,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","2mode 2lkup",1998,NA,NA,NA,NA,NA
"two seaters","suzuki","x-90 4wd",1.6,4,"manual(m5)","4",22,26,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"two seaters","suzuki","x-90 rwd",1.6,4,"auto(l4)","r",21,25,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","2mode 2lkup",1998,NA,NA,NA,NA,NA
"two seaters","suzuki","x-90 rwd",1.6,4,"manual(m5)","r",22,26,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"minicompact cars","audi","cabriolet",2.8,6,"auto(l4)","f",17,22,"p",FALSE,FALSE,FALSE,71,7,NA,NA,NA,NA,"","clkup",1998,NA,NA,NA,NA,NA
"minicompact cars","bmw","323i convertible",2.5,6,"auto(l4)","r",17,25,"r",FALSE,FALSE,FALSE,74,9,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"minicompact cars","bmw","323i convertible",2.5,6,"manual(m5)","r",18,27,"r",FALSE,FALSE,FALSE,74,9,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"minicompact cars","bmw","328i convertible",2.8,6,"auto(l4)","r",16,24,"r",FALSE,FALSE,FALSE,74,9,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"minicompact cars","bmw","328i convertible",2.8,6,"manual(m5)","r",18,26,"r",FALSE,FALSE,FALSE,74,9,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"minicompact cars","bmw","m3 convertible",3.2,6,"auto(l5)","r",15,23,"r",FALSE,FALSE,FALSE,NA,NA,74,9,NA,NA,"","",1998,NA,NA,NA,NA,NA
"minicompact cars","bmw","m3 convertible",3.2,6,"manual(m5)","r",18,26,"r",FALSE,FALSE,FALSE,NA,NA,74,9,NA,NA,"","",1998,NA,NA,NA,NA,NA
"minicompact cars","jaguar","jaguar xk8 convertible",4,8,"auto(l5)","r",15,22,"p",FALSE,FALSE,FALSE,70,10,NA,NA,NA,NA,"","ems 2mode",1998,NA,NA,NA,NA,NA
"minicompact cars","mitsubishi","mitsubishi eclipse convert.",2,4,"auto(l4)","f",18,24,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,74,5,"dohc-t/c","",1998,NA,NA,NA,NA,NA
"minicompact cars","mitsubishi","mitsubishi eclipse convert.",2,4,"manual(m5)","f",21,29,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,74,5,"dohc-t/c","",1998,NA,NA,NA,NA,NA
"minicompact cars","mitsubishi","mitsubishi eclipse convert.",2.3,4,"auto(l4)","f",18,26,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,74,5,"sohc","",1998,NA,NA,NA,NA,NA
"minicompact cars","mitsubishi","mitsubishi eclipse convert.",2.3,4,"manual(m5)","f",19,27,"r",FALSE,FALSE,FALSE,NA,NA,NA,NA,74,5,"sohc","",1998,NA,NA,NA,NA,NA
"minicompact cars","nissan","240sx",2.4,4,"auto(l4)","r",18,25,"p",FALSE,FALSE,FALSE,71,9,NA,NA,NA,NA,"","clkup",1998,NA,NA,NA,NA,NA
"minicompact cars","nissan","240sx",2.4,4,"manual(m5)","r",19,26,"p",FALSE,FALSE,FALSE,71,9,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"minicompact cars","porsche","911 carrera 4/2",3.6,6,"auto(a4)","r",15,22,"p",FALSE,FALSE,FALSE,55,4,NA,NA,NA,NA,"","2mode",1998,NA,NA,NA,NA,NA
"minicompact cars","porsche","911 carrera 4/2",3.6,6,"manual(m6)","r",15,23,"p",FALSE,FALSE,FALSE,55,4,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"minicompact cars","porsche","911 carrera 4/2",3.6,6,"manual(m6)","4",15,21,"p",TRUE,FALSE,FALSE,55,4,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"minicompact cars","toyota","celica convertible",2.2,4,"auto(l4)","f",21,27,"r",FALSE,FALSE,FALSE,67,7,NA,NA,NA,NA,"","clkup",1998,NA,NA,NA,NA,NA
"minicompact cars","toyota","celica convertible",2.2,4,"manual(m5)","f",19,26,"r",FALSE,FALSE,FALSE,67,7,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"minicompact cars","toyota","paseo",1.5,4,"auto(l4)","f",23,29,"r",FALSE,FALSE,FALSE,74,8,NA,NA,NA,NA,"","clkup",1998,NA,NA,NA,NA,NA
"minicompact cars","toyota","paseo",1.5,4,"manual(m5)","f",25,32,"r",FALSE,FALSE,FALSE,74,8,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"minicompact cars","toyota","paseo convertible",1.5,4,"auto(l4)","f",23,29,"r",FALSE,FALSE,FALSE,64,7,NA,NA,NA,NA,"","clkup",1998,NA,NA,NA,NA,NA
"minicompact cars","toyota","paseo convertible",1.5,4,"manual(m5)","f",25,31,"r",FALSE,FALSE,FALSE,64,7,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"minicompact cars","toyota","supra",3,6,"auto(l4)","r",17,22,"p",FALSE,FALSE,FALSE,NA,NA,NA,NA,69,10,"","clkup",1998,NA,NA,NA,NA,NA
"minicompact cars","toyota","supra",3,6,"auto(l4)","r",16,21,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,69,10,"","",1998,NA,NA,NA,NA,NA
"minicompact cars","toyota","supra",3,6,"manual(m6)","r",15,22,"p",FALSE,TRUE,FALSE,NA,NA,NA,NA,69,10,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","acura","2.3cl/3.0cl",2.3,4,"auto(l4)","f",19,27,"r",FALSE,FALSE,FALSE,85,12,NA,NA,NA,NA,"sohc vtec","clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","acura","2.3cl/3.0cl",2.3,4,"manual(m5)","f",21,29,"r",FALSE,FALSE,FALSE,85,12,NA,NA,NA,NA,"sohc vtec","",1998,NA,NA,NA,NA,NA
"subcompact cars","acura","2.3cl/3.0cl",3,6,"auto(l4)","f",18,26,"r",FALSE,FALSE,FALSE,85,12,NA,NA,NA,NA,"v6","clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","acura","integra",1.8,4,"auto(l4)","f",21,29,"r",FALSE,FALSE,FALSE,NA,NA,83,12,77,13,"dohc","clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","acura","integra",1.8,4,"manual(m5)","f",22,29,"r",FALSE,FALSE,FALSE,NA,NA,83,12,77,13,"dohc","",1998,NA,NA,NA,NA,NA
"subcompact cars","acura","integra",1.8,4,"manual(m5)","f",22,29,"p",FALSE,FALSE,FALSE,NA,NA,83,12,77,13,"dohc-vtec","",1998,NA,NA,NA,NA,NA
"subcompact cars","bentley","bentley azure",6.7,8,"auto(l4)","r",10,15,"p",TRUE,TRUE,FALSE,82,7,NA,NA,NA,NA,"l410mt2","ems 2mode clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","bentley","bentley continental sc",6.7,8,"auto(l4)","r",10,15,"p",TRUE,TRUE,FALSE,85,11,NA,NA,NA,NA,"l410mt2","ems 2mode clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","bentley","bentley continental t",6.7,8,"auto(l4)","r",10,15,"p",TRUE,TRUE,FALSE,85,12,NA,NA,NA,NA,"l410mt2","ems 2mode clkup",1998,NA,NA,NA,NA,NA
"subcompact cars","bmw","318i, 318is",1.9,4,"auto(l4)","r",19,29,"r",FALSE,FALSE,FALSE,82,9,86,10,NA,NA,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","bmw","318i, 318is",1.9,4,"manual(m5)","r",21,29,"r",FALSE,FALSE,FALSE,82,9,86,10,NA,NA,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","bmw","323is",2.5,6,"auto(l4)","r",17,25,"r",FALSE,FALSE,FALSE,82,9,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","bmw","323is",2.5,6,"manual(m5)","r",18,27,"r",FALSE,FALSE,FALSE,82,9,NA,NA,NA,NA,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","bmw","328i, 328is",2.8,6,"auto(l4)","r",16,24,"r",FALSE,FALSE,FALSE,82,9,86,10,NA,NA,"","",1998,NA,NA,NA,NA,NA
"subcompact cars","bmw","328i, 328is",2.8,6,"manual(m5)","r",18,26,"r",FALSE,FALSE,FALSE,82,9,86,10,NA,NA,"","",1998,NA,NA,NA,NA,NA
