Class,Manufacturer,carline name,displ,cyl,trans,drv,cty,hwy,cmb,ucty,uhwy,ucmb,fl,G,T,S,2pv,2lv,4pv,4lv,hpv,hlv,fcost,eng dscr,trans dscr,vpc,cls
TWO SEATERS,ACURA,NSX,3.0,6,Auto(S4),R,17,24,20,19.1342,30.2000,22.9121,P,,,,,,,,,,1162,DOHC-VTEC,2MODE,4,1
TWO SEATERS,ACURA,NSX,3.2,6,Manual(M6),R,17,24,19,18.7000,30.4000,22.6171,P,,,,,,,,,,1223,DOHC-VTEC,,4,1
TWO SEATERS,AUDI,TT ROADSTER,1.8,4,Manual(M5),F,22,30,25,23.9499,37.9000,28.7043,P,,T,,,,,,,,930,,,5,1
TWO SEATERS,AUDI,TT ROADSTER QUATTRO,1.8,4,Manual(M6),4,20,28,23,22.1821,35.9077,26.7904,P,,T,,,,,,,,1011,,,5,1
TWO SEATERS,BMW,Z3 COUPE,3.0,6,Manual(M5),R,21,28,24,23.3000,36.4523,27.8164,P,,,,,,,,,,970,,,4,1
TWO SEATERS,BMW,Z3 COUPE,3.0,6,Auto(S5),R,19,27,22,21.3268,34.6842,25.7976,P,,,,,,,,,,1058,,3MODE,4,1
TWO SEATERS,BMW,Z3 ROADSTER,2.5,6,Manual(M5),R,20,27,23,22.1000,34.9000,26.4684,P,,,,,,,,,,1011,,,4,1
TWO SEATERS,BMW,Z3 ROADSTER,2.5,6,Auto(S5),R,19,26,22,21.3701,33.5440,25.5414,P,,,,,,,,,,1058,,3MODE,4,1
TWO SEATERS,BMW,Z3 ROADSTER,3.0,6,Manual(M5),R,21,28,24,23.3000,36.4523,27.8164,P,,,,,,,,,,970,,,4,1
TWO SEATERS,BMW,Z3 ROADSTER,3.0,6,Auto(S5),R,19,25,21,20.7065,32.5370,24.7573,P,,,,,,,,,,1107,,3MODE,4,1
TWO SEATERS,BMW,Z8,4.9,8,Manual(M6),R,13,21,16,14.9485,26.5000,18.5963,P,G,,,,,,,,,1453,GUZZLER,,4,1
TWO SEATERS,CHEVROLET,CORVETTE,5.7,8,Auto(L4),R,18,26,21,20.1000,32.9000,24.3659,P,,,,,,,,,,1107,,CLKUP,2,1
TWO SEATERS,CHEVROLET,CORVETTE,5.7,8,Manual(M6),R,19,28,22,21.3000,35.9000,26.0713,P,,,,,,,,,,1058,,,2,1
